window_end,effective_N,analyzed_N,effective_ratio
2024-12-04,3.9195932388154526,12,0.3266327699012877
2024-12-05,3.916487448454134,12,0.32637395403784447
2024-12-06,3.9100576545230608,12,0.32583813787692173
2024-12-09,3.9111559840603993,12,0.3259296653383666
2024-12-10,3.90774368390408,12,0.32564530699200667
2024-12-11,3.9058619005405424,12,0.32548849171171185
2024-12-12,3.904907436962499,12,0.3254089530802083
2024-12-13,3.8964187994300485,12,0.3247015666191707
2024-12-16,3.9096822403945266,12,0.32580685336621057
2024-12-17,3.9098855650766766,12,0.32582379708972303
2024-12-18,3.9081798334433673,12,0.3256816527869473
2024-12-19,3.9066671805411644,12,0.32555559837843034
2024-12-20,3.9133678473471045,12,0.3261139872789254
2024-12-23,3.9185273957856728,12,0.32654394964880606
2024-12-24,3.9164715234223393,12,0.3263726269518616
2024-12-27,3.914178829518701,12,0.32618156912655843
2024-12-30,3.915088472782564,12,0.3262573727318803
2024-12-31,3.913768986463105,12,0.3261474155385921
2025-01-02,3.898114776681832,12,0.3248428980568193
2025-01-03,3.8931697628338187,12,0.3244308135694849
2025-01-06,3.8872365617595146,12,0.32393638014662623
2025-01-07,3.8876433464070614,12,0.3239702788672551
2025-01-08,3.888110453147639,12,0.3240092044289699
2025-01-10,3.8820897060311856,12,0.3235074755025988
2025-01-13,3.8757543167430297,12,0.32297952639525246
2025-01-14,3.8603731727245325,12,0.32169776439371106
2025-01-15,3.855449869791926,12,0.3212874891493272
2025-01-16,3.8538288649753842,12,0.32115240541461537
2025-01-17,3.851849152376378,12,0.32098742936469815
2025-01-21,3.8490160239844387,12,0.32075133533203654
2025-01-22,3.8364424401826493,12,0.31970353668188745
2025-01-23,3.8370107444225843,12,0.31975089536854867
2025-01-24,3.8249831972152446,12,0.31874859976793707
2025-01-27,3.810641078068062,12,0.31755342317233853
2025-02-05,3.8094047122772765,12,0.31745039268977304
2025-02-06,3.80486139461622,12,0.317071782884685
2025-02-07,3.8016865378147573,12,0.3168072114845631
2025-02-10,3.795808506423982,12,0.31631737553533185
2025-02-11,3.792255353687285,12,0.31602127947394043
2025-02-12,3.7942404639046114,12,0.3161867053253843
2025-02-13,3.7950994994092264,12,0.3162582916174355
2025-02-14,3.7832136948323707,12,0.31526780790269754
2025-02-18,3.7878129409193795,12,0.31565107840994827
2025-02-19,3.7824707159146262,12,0.31520589299288554
2025-02-20,3.7831484263325423,12,0.3152623688610452
2025-02-21,3.7796376735387396,12,0.3149698061282283
2025-02-24,3.7796145726122274,12,0.31496788105101897
2025-02-25,3.778298825820803,12,0.3148582354850669
2025-02-26,3.7790766287040762,12,0.31492305239200635
2025-02-27,3.7783586996172076,12,0.31486322496810065
2025-02-28,3.77473290293077,12,0.3145610752442308
2025-03-03,3.773647579324967,12,0.31447063161041394
2025-03-04,3.7728383416348428,12,0.3144031951362369
2025-03-05,3.7725396427960076,12,0.31437830356633395
2025-03-06,3.769882751301582,12,0.31415689594179846
2025-03-07,3.771007119555342,12,0.3142505932962785
2025-03-10,3.7700397516496214,12,0.3141699793041351
2025-03-11,3.769267704037062,12,0.3141056420030885
2025-03-12,3.765221157999464,12,0.3137684298332887
2025-03-13,3.769302352107495,12,0.3141085293422912
2025-03-14,3.7636132019776274,12,0.31363443349813563
2025-03-17,3.762517726305441,12,0.31354314385878673
